;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;13365;"beef comp of rtl cuts ln 0""fat choic ckd";206;30;3;9;;;0;0;0;14;3;21;235;338;63;7;0;0;31;0;0;0;6;1;7;3;1;0.23;0
;;11819;peppers hot chili red raw;40;2;0;0;;;9;2;5;14;1;23;43;322;9;0;0;0;1;144;0;0;1;1;23;0;48;0.69;0
;;10130;canadian bacon unprep;110;20;1;3;;;1;0;1;6;0;20;240;683;751;1;0;0;37;0;1;0;7;0;4;0;0;0.22;0
;;23463;beef nz imp hind shin ln  fat raw;147;21;3;7;;;0;0;0;5;2;20;170;313;61;4;0;0;2;0;0;0;3;0;0;1;6;0.41;0
;;10020;pork frsh loin whl lnfat raw;198;20;4;13;;;0;0;0;18;1;21;197;356;50;2;0;0;33;1;1;0;5;0;1;1;2;0.21;1
;;18027;bread egg;287;10;2;6;;;48;2;2;93;3;19;106;115;380;1;0;1;30;0;0;0;5;0;70;0;63;0.26;0
;;15238;salmon coho farmed raw;160;21;2;8;;;0;0;0;12;0;31;292;450;47;0;0;0;13;1;0;0;7;1;13;3;56;0;0
;;14615;beverages v8 splash juc drinks orange pnappl;29;0;0;0;;;7;0;7;0;0;0;0;10;21;0;0;0;0;25;0;0;0;0;0;0;0;1.11;0
;;28264;keebler oatmeal cookies;478;7;6;20;;;68;5;31;0;2;6;28;123;325;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19204;puddings lemon dry mix inst prep w 2 milk;107;3;1;;;;202;0;0;101;0;11;207;130;268;0;0;0;2;1;0;0;0;0;4;0;46;0;1
;;11743;broccoli frz chopd ckd bld drnd wsalt;28;3;0;0;;;5;3;1;33;1;13;49;142;260;0;0;0;1;40;0;0;0;0;56;0;51;1.32;0
;;18202;cookies sugar wafer w creme filling sugar free;531;4;4;29;;;66;14;0;0;1;7;40;57;71;0;0;0;6;0;0;0;2;0;4;0;0;3.08;0
;;17306;"lamb aus imp frsh leg cntr slice bone-in lnfat 18""fat raw";195;19;6;13;;;0;0;0;10;2;23;199;318;61;3;0;0;7;0;0;0;5;0;0;3;0;0;0
;;13350;beef cured dried;153;31;1;2;;;3;0;3;8;2;19;181;235;2790;5;0;0;32;0;0;0;5;0;10;2;0;0.38;0
;;23429;beef nz imp oyster blade ln raw;155;22;3;8;;;0;0;0;4;2;18;158;297;59;5;0;0;2;0;0;0;2;0;0;2;12;0.38;0
;;18954;bread pound cake type pan de torta salvadoran;390;7;3;17;;;51;2;18;46;2;19;300;210;390;1;0;0;14;0;0;0;5;0;0;0;0;1.42;0
;;21247;wendy's french fr;301;4;3;14;;;40;4;0;16;1;33;126;625;219;1;0;0;1;4;0;0;3;0;0;0;0;2;0
;;16134;yardlong bns mature seeds ckd bld wosalt;118;8;0;0;;;21;4;0;42;3;98;181;315;5;1;0;0;3;0;0;0;1;0;146;0;0;0;0
;;12006;chia seeds dried;486;17;3;31;;;42;34;0;631;8;335;860;407;16;5;1;3;55;2;1;0;9;0;49;0;0;0.5;0
;;P082;tholam;103;21;1;2;;;0;0;0;11;1;26.14;241;382;28;0;0;0;46;0;0;0;3;160;824;0;0;1.86;0
;;9150;lemons raw without peel;29;1;0;0;;;9;3;3;26;1;8;16;138;2;0;0;0;0;53;0;0;0;0;11;0;1;0.15;0
;;13439;"beef loin tndrln steak bnless l  f 0"" f a grds ckd grilled";211;31;4;9;;;0;0;0;13;3;18;257;350;57;4;0;0;25;0;0;0;6;1;7;4;7;0.14;0
;;3857;inf formula mejohn prosobe lipi w iro re to fe w ara  dha;64;2;1;4;;;6;0;6;69;1;7;54;79;23;1;0;0;2;8;0;0;1;0;0;0;58;0.87;1
;;11444;seaweed irishmoss raw;49;2;0;0;;;12;1;1;72;9;144;157;63;67;2;0;0;1;3;0;0;1;0;182;0;6;0.87;0
;;17448;"lamb aus frsh rack rst frenched bone-in ln 18"" fat ckd rstd";244;28;7;15;;;0;0;0;6;3;22;174;237;67;3;0;0;17;0;0;0;7;1;0;2;4;0.51;0
;;4030;sandwich sprd wchopd pickle reg unspec oils;389;1;5;34;;;22;0;15;14;0;2;26;35;1000;1;0;0;2;0;0;0;0;0;6;0;22;4;0
;;33865;inf formula mead johnson enfa prem infant liq conc not rec;129;3;3;7;;;14;0;14;101;2;10;55;138;35;1;0;0;4;16;0;0;1;0;0;0;118;1.17;1
;;23065;"bf chk  clod shldr tender med ln  fat 0"" fat se ckd grilled";172;26;2;6;;;0;0;0;5;3;24;223;348;58;5;0;0;38;0;0;0;5;1;8;6;0;0.17;0
;;9403;apricot nectar cnd w vit c;56;0;0;0;;;14;1;13;7;0;5;9;114;3;0;0;0;0;18;0;0;0;0;1;0;66;0;0
;;8697;cereals rte kashi organic promise raisin vineyard;342;9;0;1;;;80;5;23;24;2;50;119;294;279;1;0;0;0;1;0;0;3;0;1;0;0;0;0
;;4513;vegetable oil palm kernel;862;0;82;100;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.81;0
;;G019;asafoetida;331;6;0;1;;;72;5;1;266;16;96.4;69;245;16;1;0;3;13;0;1;0;0;0;26;0;1;0.77;0
;;E066;water melon  pale green ;17;1;0;0;;;3;1;3;4;0;7.42;8;126;2;0;0;0;0;11;0;0;0;0;6;0;119;0.05;0
;;9250;peaches frz sliced swtnd;94;1;0;0;;;24;2;22;3;0;5;11;130;6;0;0;0;0;94;0;0;1;0;3;0;14;0.62;0
;;11937;pickles cucumber dill or kosher dill;12;1;0;0;;;2;1;1;57;0;7;16;117;809;0;0;0;0;2;0;0;0;0;8;0;6;0.03;0
;;18324;pie pecan commly prep;407;5;3;17;;;60;2;25;22;1;22;83;99;275;1;0;1;7;0;0;0;1;0;17;0;51;0.8;0
;;10905;pork cured ham  h2o product whl bnless ln  fat unhtd;117;14;1;5;;;4;0;4;8;1;17;228;267;1308;2;0;0;29;0;0;0;4;0;3;0;13;0.15;1
;;19411;potato chips plain salted;532;6;3;34;;;54;3;0;21;1;63;153;1196;527;1;0;0;3;22;0;0;5;1;29;0;0;10.45;0
;;36042;olive garden lasagna classico;184;11;5;11;;;10;2;4;211;1;22;183;258;450;1;0;0;15;1;0;0;2;0;0;1;60;0.86;0
;;43276;cheese sprd crm chs base;295;7;18;29;;;4;0;4;71;1;6;91;112;436;1;0;0;3;0;0;0;1;0;12;0;302;0.77;1
;;P031;korka;126;24;1;3;;;0;0;0;11;1;28.55;229;349;43;1;1;0;52;0;0;0;3;316;751;0;0;0.63;0
;;43528;beverages abbott ensure plus rtd;141;5;1;5;;;20;0;8;79;2;40;79;175;95;2;0;1;7;12;0;0;2;0;0;1;149;1.34;1
;;15055;mullet striped raw;117;19;1;4;;;0;0;0;41;1;29;221;357;65;1;0;0;37;1;0;0;5;0;9;0;37;1;2
;;6142;sauce sofrito prep from recipe;237;13;0;18;;;5;2;0;20;1;25;139;401;1145;1;0;0;0;20;0;0;3;0;43;0;0;0;0
;;18963;garlic bread frz;350;8;5;17;;;42;3;4;27;3;23;87;103;544;1;0;0;17;0;0;0;4;0;136;0;13;1.18;0
;;23595;"beef brisket flat half ln 18"" fat all grds ckd brsd";196;33;2;6;;;0;0;0;16;3;22;204;266;54;8;0;0;34;0;0;0;5;0;11;2;0;0.47;0
;;15058;ocean perch atlantic ckd dry heat;96;19;0;2;;;0;0;0;34;0;27;300;226;347;0;0;0;35;0;0;0;1;0;10;2;15;0.91;1
;;21496;"pizza hut 14"" sausage pizza thin 'n crispy crust";323;14;7;17;;;29;2;3;193;2;24;238;220;839;2;0;0;18;3;0;0;5;0;0;0;0;0;0
;;23167;"beef plate steak bnless inside skirt ln 0"" fat sel raw";153;22;3;7;;;0;0;0;6;2;22;154;292;66;6;0;0;22;0;0;0;6;0;3;2;2;0.1;0
;;17106;veal loin lnfat ckd rstd;217;25;5;12;;;0;0;0;19;1;25;212;325;93;3;0;0;11;0;0;0;9;0;15;1;0;0.44;0
;;4029;salad drsng mayo imitn soybn wochol;482;0;8;48;;;16;0;6;0;0;0;0;10;353;0;0;0;2;0;0;0;0;0;0;0;0;5;0
;;15235;catfish channel farmed ckd dry heat;144;18;2;7;;;0;0;0;9;0;23;247;366;119;1;0;0;10;0;0;0;3;0;12;3;1;0.97;0
;;20410;noodles egg unenr ckd wo added salt;138;5;0;2;;;25;1;0;12;1;21;76;38;5;1;0;0;24;0;0;0;0;0;7;0;6;0.17;0
;;11640;shallots freeze-dried;348;12;0;1;;;81;16;38;183;6;104;296;1650;59;2;0;1;6;39;0;0;1;2;116;0;1;0.18;0
;;16244;silk unswtnd soymilk;33;3;0;2;;;2;0;0;123;0;16;0;123;35;0;0;0;2;0;0;0;0;0;10;1;0;0;0
;;13501;"beef shldr top blade steak bnless ln 0"" fat choic ckd grille";202;28;4;10;;;0;0;0;14;3;23;226;389;85;10;0;0;31;0;0;0;4;0;7;5;1;0.14;0
;;12540;sunflower sd butter wsalt;617;17;5;55;;;23;6;11;64;4;311;666;576;331;5;2;2;104;3;0;0;7;1;237;0;0;22.89;0
;;6117;campbell's red  white bean w bacon soup cond;125;6;1;2;;;20;6;3;47;1;0;0;375;672;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;11010;artichokes (globe or french) frz ckd bld drnd wosalt;45;3;0;1;;;9;5;1;21;1;31;61;264;53;0;0;0;0;5;0;0;1;0;119;0;1;0.16;0
;;17434;veal seam fat only ckd;505;11;16;50;;;2;0;0;43;1;24;152;155;87;2;0;0;10;0;0;0;3;0;0;2;0;0.52;5
;;3140;babyfood fruit dssrt mango w tapioca;70;0;0;0;;;19;1;13;8;0;6;4;66;4;0;0;0;0;16;0;0;0;0;8;0;23;0.66;0
;;15142;crustaceans crab blue crab cakes home recipe;155;20;1;8;;;0;0;0;105;1;33;213;324;330;4;1;0;41;3;0;0;3;0;42;6;57;0;0
;;11373;potatoes au gratin home-prepared from recipe using butter;132;5;5;8;;;11;2;0;119;1;20;113;396;433;1;0;0;3;10;0;0;1;0;8;0;64;0;0
;;14099;alcoholic bev wine table red pinot noir;82;0;0;0;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27027;pace pico de gallo;31;0;0;0;;;9;0;6;0;0;0;0;0;469;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;16102;pigeon peas (red gm) mature seeds ckd bld wosalt;121;7;0;0;;;23;7;0;43;1;46;119;384;5;1;0;1;3;0;0;0;1;0;111;0;0;0;0
;;O052;pork  heart;109;16;2;5;;;0;0;0;5;4;18.23;187;268;71;2;0;0;21;0;0;0;5;0;5;0;0;0.1;0
;;17312;"lamb aus imp frsh loin ln 18""fat raw";146;21;3;6;;;0;0;0;15;2;24;199;327;75;3;0;0;9;0;0;0;7;0;0;2;0;0;0
;;21446;popeyes fried chick mild wing meat only skn  brding removed;212;29;3;9;;;3;0;0;38;1;26;188;314;814;2;0;0;43;0;0;0;8;0;0;1;10;0.39;0
;;14366;beverages tea inst unswtnd pdr;315;20;0;0;;;59;9;6;118;2;272;239;6040;72;2;1;133;5;0;0;1;11;0;103;0;0;0;0
;;3159;babyfood fruit pearspnappl jr;44;0;0;0;;;11;3;7;10;0;7;10;118;0;0;0;0;0;17;0;0;0;0;3;0;2;0.08;0
;;2047;salt table;0;0;0;0;;;0;0;0;24;0;1;0;8;38758;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28150;keebler traditions iced lemonade cookies;502;5;8;24;;;66;1;30;0;2;9;60;60;262;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;4674;margarine-like sprd smart balance lt buttery sprd;337;0;10;36;;;2;0;0;3;0;1;1;32;580;0;0;0;0;0;0;0;0;0;0;0;1433;15.75;0
;;9528;ruby red grpfrt juc blnd (grpfrt grp apl) ocean spry wvit c;44;1;0;0;;;11;0;10;10;0;0;0;94;8;0;0;0;0;49;0;0;0;0;0;0;6;0;0
;;13795;"beef comp of rtl cuts lnfat 18""fat all grds raw";214;20;6;14;;;0;0;0;17;2;19;174;283;52;4;0;0;23;0;0;0;5;1;8;2;2;0.28;0
;;A002;amaranth seed  pale brown ;356;13;1;6;;;61;7;1;162;8;270;412;413;3;3;1;4;21;0;0;0;1;0;25;0;0;0.15;0
;;12094;chestnuts chinese dried;363;7;0;2;;;80;0;0;29;2;137;155;726;5;1;1;3;0;59;0;0;1;1;110;0;16;0;0
;;5107;chicken broilers or fryers wing meat only ckd rstd;203;30;2;8;;;0;0;0;16;1;21;166;210;92;2;0;0;25;0;0;0;7;1;4;0;18;0.27;0
;;15068;pompano florida raw;164;18;4;9;;;0;0;0;22;1;27;195;381;65;1;0;0;37;0;1;0;3;0;15;1;40;0.18;11
;;16585;gardenburger sun-dried tomato basil burger frz unprep;137;6;1;4;;;24;5;3;50;1;0;48;78;387;0;0;0;0;12;0;0;0;0;0;0;0;0;0
;;28159;keebler wheatables nut crisp crackers tstd pecan;483;8;4;22;;;66;4;12;0;5;34;172;145;654;1;0;0;0;0;0;0;4;0;0;0;0;0;0
;;19080;candies semisweet choc;480;4;18;30;;;64;6;55;32;3;115;132;365;11;2;1;1;4;0;0;0;0;0;13;0;0;0.26;0
;;28140;keebler town house flipsides pretzel crackers garlic herb;486;7;4;24;;;63;2;7;0;4;15;260;108;1517;0;0;0;0;0;1;0;4;0;0;0;0;0;0
;;23618;"beef rnd bttm rnd rst ln 18"" fat choic raw";140;22;2;5;;;0;0;0;19;2;24;215;341;56;4;0;0;28;0;0;0;7;1;13;2;0;0.3;0
;;16160;tofu hard prep wnigari;145;13;1;10;;;4;1;0;345;3;53;231;146;2;2;0;1;17;0;0;0;1;0;22;0;0;0;0
;;6121;gravy mushroom canned;50;1;0;3;;;5;0;0;7;1;2;15;106;570;1;0;0;2;0;0;0;1;0;12;0;0;0;0
;;35023;caribou liver raw (alaska native);122;15;0;4;;;7;0;0;4;16;0;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11876;sweet potato ckd bld wo skn w salt;76;1;0;0;;;18;3;6;27;1;18;32;230;263;0;0;0;0;13;0;0;1;0;6;0;787;0.94;0
;;11363;potatoes bkd flesh wosalt;93;2;0;0;;;22;2;2;5;0;25;50;391;5;0;0;0;0;13;0;0;1;0;9;0;0;0.04;0
;;36629;restaurant chinese orange chick;262;14;2;13;;;22;1;14;14;1;20;130;209;553;1;0;0;17;1;0;0;4;0;10;0;75;1.07;0
;;21486;fast foods taco w bf chs  lettuce soft;206;9;4;10;;;20;3;2;123;2;19;167;161;560;1;0;0;17;0;0;0;3;0;16;1;19;0.25;0
;;P071;sardine;152;18;1;9;;;0;0;0;42;1;24.39;191;228;38;1;0;0;50;0;0;0;1;140;2266;0;0;0.22;0
;;6441;campbell's chunky soups savory pot rst soup;49;3;0;0;;;8;1;2;8;0;0;0;0;322;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8704;cereals kellogg's spl k nourish maple brown sugar crunch dry;371;15;1;10;;;62;9;22;385;10;115;457;320;266;2;0;0;0;23;1;1;8;1;0;1;0;2.6;4
;;6361;campbell's red  white grn pea soup cond;141;7;1;2;;;22;3;5;16;1;0;0;305;680;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17067;lamb nz imp frz comp of rtl cuts fat ckd;586;10;32;60;;;0;0;0;27;1;11;135;87;35;1;0;0;2;0;0;0;8;0;3;2;0;0.04;0
;;5058;chicken broilers or fryers breast meatskn ckd fried batter;260;25;4;13;;;9;0;0;20;1;24;185;201;275;1;0;0;28;0;0;0;11;0;6;0;20;1.06;0
;;10957;pork leg cap steak bnless ln  fat raw;123;22;1;3;;;0;0;0;7;1;22;207;365;73;3;0;0;25;0;1;0;7;1;1;1;0;0.08;0
;;5693;chicken broiler rotisserie bbq back meat only;212;22;4;14;;;0;0;0;33;1;18;212;263;563;2;0;0;41;0;0;0;5;0;7;1;15;0.24;0
;;25039;snacks granola bars quaker oatmeal to go all flavors;389;7;1;7;;;75;5;32;333;6;69;167;238;367;1;0;2;16;1;1;1;7;1;20;0;236;2.25;0
;;9103;fruit salad cnd juc pk solliquids;50;1;0;0;;;13;1;0;11;0;8;14;116;5;0;0;0;0;3;0;0;0;0;3;0;30;0;0
;;43373;babyfood dinner chicknoodle wveg todd;66;4;0;2;;;9;1;1;11;0;10;42;95;194;0;0;0;4;2;0;0;1;0;5;0;98;0.19;0
;;35083;walrus liver raw (alaska native);125;21;0;3;;;4;0;0;0;14;0;208;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;D045;cucumber  orange  round ;20;1;0;0;;;3;2;0;22;0;20.34;23;185;8;0;0;0;0;6;0;0;0;0;19;0;0;0.02;0
;;6;goat  lungs;96;17;2;3;;;0;0;0;10;7;11.48;209;180;86;2;0;0;26;0;0;0;3;0;2;0;0;0.08;0
;;13972;"beef chk eye rst bnl america's bf rst ln 0"" fat all grd  raw";137;21;3;6;;;0;0;0;18;2;21;204;357;85;8;0;0;23;0;0;0;5;0;3;3;2;0.2;0
;;1058;sour drsng non-butterfat cultured filled cream-type;178;3;13;17;;;5;0;5;113;0;10;87;162;48;0;0;0;2;1;0;0;0;0;12;0;3;1.34;0
;;35042;fish herring pacific flsh air-dried pack oil (alaska native);489;45;0;35;;;0;0;0;0;0;0;684;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15158;clam mxd sp ckd breadedfried;202;14;3;11;;;10;0;0;63;14;14;188;326;364;1;0;1;29;10;0;0;2;0;18;40;91;0;0
;;8183;cereals whl wheat hot nat crl ckd w h2o w salt;62;2;0;0;;;14;2;0;7;1;22;69;71;233;0;0;1;13;0;0;0;1;0;14;0;0;0.24;0
;;15150;shrimp mxd sp ckd breadedfried;242;21;2;12;;;11;0;1;67;1;40;218;225;344;1;0;0;42;2;0;0;3;0;23;2;56;1.3;0
;;O041;calf  heart;110;19;1;4;;;0;0;0;6;5;18.21;185;224;58;2;0;0;12;0;0;0;5;0;9;0;0;0.1;0
;;9451;horned melon (kiwano);44;2;0;1;;;8;0;0;13;1;40;37;123;2;0;0;0;0;5;0;0;1;0;3;0;7;0;0
;;21301;"fast fd pizza chain 14"" pizza chs topping thin crust";302;13;6;14;;;31;3;4;288;2;24;295;199;742;2;0;0;20;3;0;0;3;0;40;1;72;1.29;0
;;18288;pancakes pln frz rth (includes buttermilk);233;5;1;7;;;38;1;8;78;6;14;215;90;461;0;0;0;11;0;1;0;6;1;14;3;453;0.62;0
;;9123;grapefruit juc white cnd or btld unswtnd;34;1;0;0;;;8;1;7;14;0;8;15;129;3;0;0;0;0;28;0;0;0;0;10;0;2;0.04;0
;;27048;sauce steak tomato bsd;95;1;0;0;;;22;2;10;19;1;17;33;312;1647;0;0;0;1;7;0;0;1;0;8;0;15;1.16;0
;;6462;campbell's chunky soups steak 'n' potato soup;49;3;0;1;;;7;1;0;0;0;0;0;0;376;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19105;candies nestle goobers choc covered pnuts;512;10;12;34;;;53;10;43;89;1;0;0;502;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11932;beans snap yel cnd reg pk drnd sol;20;1;0;0;;;5;1;1;26;1;13;19;109;251;0;0;0;0;5;0;0;0;0;32;0;5;0.29;0
;;1090;milk dry whl w added vitamin d;496;26;17;27;;;38;0;38;912;0;85;776;1330;371;3;0;0;16;9;0;1;1;0;37;3;258;0.58;11
;;7901;usda commodity pork sausage bulklinkspatties frz ckd;267;20;6;20;;;0;0;0;9;1;19;190;239;540;3;0;0;22;0;1;0;3;0;1;1;15;0;0
;;18192;cookies shortbread commly prep pln;514;5;8;26;;;64;1;22;13;3;14;66;88;353;0;0;0;6;0;0;0;3;0;20;0;0;2.44;0
;;16425;soy sau red na made from hydrolyzed veg prot;90;8;0;0;;;14;0;6;11;0;34;89;3098;2890;0;0;0;1;0;0;0;0;0;4;0;0;0;0
;;6434;campbell's chunky soups old fashioned veg bf soup;49;3;0;1;;;6;1;1;17;1;10;48;163;346;1;0;0;3;0;0;0;1;0;0;0;0;0;0
;;13359;"beef chk und blcntr stk bnless den cut ln 0"" fa  choice  raw";178;19;5;11;;;1;0;0;12;2;20;180;317;76;7;0;0;22;0;0;0;3;0;3;3;2;0.15;0
;;23188;"beef rib eye stk bn-in lip-on ln  ft 18"" ft al gds ckd grl";309;23;11;24;;;0;0;0;22;2;21;156;243;60;5;0;0;24;0;0;0;5;0;6;2;8;0.09;0
;;8658;cereals rte kellogg's krave double choc crl;397;7;3;11;;;76;11;36;67;15;48;112;275;320;5;0;0;0;50;1;1;17;2;19;5;0;0.67;3
;;10206;pork frsh loin country-style ribs ln  fat bone-in ckd rstd;359;22;11;29;;;0;0;0;25;1;22;214;322;52;2;0;0;35;0;1;0;4;0;4;1;2;0;2
;;13950;"beef brisket flat half ln  fat 0"" fat sel ckd brsd";205;34;3;7;;;0;0;0;20;3;22;208;275;57;8;0;0;33;0;0;0;4;0;9;2;0;0.43;0
;;5052;chicken broilers or fryers back meatskn ckd stwd;258;22;5;18;;;0;0;0;18;1;16;120;145;64;2;0;0;20;0;0;0;4;0;5;0;88;0.27;0
;;18544;archway home style cookies raspberry filled;400;4;5;13;;;66;2;32;20;2;0;0;118;334;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19190;puddings choc dry mix reg prep w 2 milk;111;3;1;2;;;20;1;12;112;0;21;94;156;102;1;0;0;3;0;0;0;0;0;4;0;47;0.03;1
;;36631;olive garden spaghetti w meat sau;121;6;1;3;;;17;2;2;15;1;18;60;164;209;1;0;0;17;1;0;0;2;0;0;0;10;0.58;0
;;14005;alcoholic bev beer lt budweiser sel;28;0;0;0;;;1;0;0;4;0;6;0;26;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11039;lima bns immat seeds frz baby unprep;132;8;0;0;;;25;6;0;35;2;50;104;452;52;1;0;1;2;8;0;0;1;0;28;0;9;0;0
;;23586;"beef rib sml end (ribs 10-12) ln 18"" fat sel ckd brld";188;31;2;6;;;0;0;0;22;2;27;253;409;66;6;0;0;39;0;0;0;9;1;10;1;0;0.4;0
;;9019;applesauce cnd unswtnd woadded vit c (includes usda commod);42;0;0;0;;;11;1;9;4;0;3;5;74;2;0;0;0;0;1;0;0;0;0;3;0;1;0.16;0
;;18477;toaster pastries kellogg kellogg's pop tarts frstd blueberry;391;5;2;10;;;72;1;31;24;4;16;85;95;320;1;0;0;0;0;0;0;4;0;80;0;0;0;0
;;18007;bagels oat bran;255;11;0;1;;;53;4;2;12;3;31;110;115;590;1;0;1;34;0;0;0;3;0;46;0;1;0.33;0
;;8642;cereals quaker inst oatmeal appl  cinn red sugar;358;10;1;6;;;72;10;18;355;13;104;357;389;535;2;0;0;0;1;1;1;14;1;0;0;0;0.49;0
;;1219;yogurt fruit lowfat w lo cal swtnr fort w vitamin d;105;5;1;1;;;19;0;3;152;0;16;133;194;58;1;0;0;3;1;0;0;0;0;10;1;131;0.06;1
;;18209;cookies sugar wafers wcreme filling reg;502;4;12;23;;;71;2;43;27;4;16;72;117;103;0;0;0;4;0;0;0;2;0;1;0;0;2.5;0
;;5072;chicken broilers or fryers drumstk meat only ckd fried;195;29;2;8;;;0;0;0;12;1;24;186;249;96;3;0;0;20;0;0;0;6;0;9;0;18;0;0
;;16260;silk original creamer;100;0;0;7;7;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;13800;"beef comp of rtl cuts lnfat 18""fat sel ckd";245;26;6;15;0;0;0;13;2;20;174;262;51;5;0;0;27;0;0;0;5;0;7;2;3;0.28;0;;
;;17170;game meat horse raw;133;21;1;5;0;0;0;6;4;24;221;360;53;3;0;0;10;1;0;0;5;0;0;3;0;0;0;;
;;6700;soup veg broth ready to serve;5;0;0;0;1;0;1;3;0;1;3;19;296;0;0;0;0;0;0;0;0;0;0;0;12;0;0;;
;;23362;"beef rnd eye of rnd rst bnless ln 0"" fat sel raw";116;23;1;3;0;0;0;13;1;11;222;312;50;3;0;0;22;0;0;0;7;1;4;2;2;0.22;0;;
;;9448;nance cnd syrup drnd;95;1;0;1;23;7;16;42;0;16;7;194;8;0;0;0;0;11;0;0;0;0;0;0;0;0;0;;
;;18377;cookies oatmeal prep from recipe woraisins;447;7;4;18;66;0;0;105;3;43;167;182;598;1;0;1;17;0;0;0;1;0;12;0;160;0;0;;
;;10852;hormel always tender pork tenderloin teriyaki-flavored;119;18;1;3;5;0;3;7;1;22;0;536;413;2;0;0;0;3;0;0;0;0;0;0;0;0;0;;
;;G005;chillies  green-5 ;43;2;0;1;7;4;0;15;1;23.96;44;317;2;0;0;0;0;98;0;0;1;0;18;0;11;0.25;0;;
;;11835;potatoes microwaved ckd in skn flesh wsalt;100;2;0;0;23;2;0;5;0;25;109;411;243;0;0;0;0;15;0;0;2;0;12;0;0;0;0;;
;;16257;silk blueberry soy yogurt;88;2;0;1;17;1;12;176;1;0;0;0;15;0;0;0;0;18;0;0;0;0;0;0;0;0;0;;
;;19320;puddings banana dry mix reg;366;0;0;0;93;0;74;20;0;8;5;17;788;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
;;13383;"beef chk under blade pot rst bnless ln 0"" fat choic ckd brsd";231;30;4;11;0;0;0;14;3;22;207;307;63;11;0;0;35;0;0;0;4;0;7;4;2;0.1;0;;
;;19138;candies truffles prepared-from-recipe;510;6;18;34;45;3;38;157;2;48;171;297;68;2;0;0;3;0;0;0;0;0;9;0;144;1.82;0;;
;;5745;turkey back from whl bird meat  skn w added soln rstd;205;26;3;11;0;0;0;15;1;29;252;252;237;2;0;0;28;0;0;0;11;1;6;2;22;0.09;1;;
;;16053;broadbeans (fava bns) mature seeds ckd bld wosalt;110;8;0;0;20;5;2;36;2;43;125;268;5;1;0;0;3;0;0;0;1;0;104;0;1;0.02;0;;
;;15119;tuna lt cnd in oil drnd sol;198;29;2;8;0;0;0;13;1;31;311;207;416;1;0;0;76;0;0;0;12;0;5;2;23;0.87;7;;
;;10074;pork frsh shldr arm picnic lnfat raw;193;19;4;13;0;0;0;12;1;18;200;413;84;2;0;0;22;0;1;0;5;0;0;1;5;0.21;1;;
;;11946;pickles cucumber sour lo na;11;0;0;0;2;1;1;0;0;4;14;23;18;0;0;0;0;1;0;0;0;0;1;0;10;0.09;0;;
;;21138;fst foods  potato  frnch fried in veg oil;312;3;2;15;41;4;0;18;1;35;125;579;210;1;0;0;1;5;0;0;3;0;30;0;0;1.67;0;;
;;23419;beef nz imp intermuscular fat ckd;560;8;25;57;3;0;0;16;1;9;75;125;25;2;0;0;4;0;0;0;1;0;0;0;0;0;0;;
;;Q002;crab  sea ;68;15;0;1;0;0;0;333;1;80.04;193;252;313;3;1;0;38;0;0;0;1;117;774;0;0;2.06;0;;
;;5630;emu outside drum raw;103;23;0;0;0;0;0;3;5;29;225;320;100;5;0;0;36;0;0;0;7;1;7;7;0;0.17;0;;
;;14015;alcoholic bev pina colada cnd;237;1;7;8;28;0;0;1;0;6;36;83;71;0;0;0;1;2;0;0;0;0;6;0;1;0;0;;
