;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;
NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg
27054;dip tostitos salsa con queso med;133,0000;2,9200;2,4420;8,2600;11,7200;0,6000;1,4000;90,0000;0,1400;7,0000;177,0000;88,0000;773,0000;0,4400;0,0040;0,0190;3,0000;0,6000;0,0100;0,0500;0,1500;0,0430;0,0000;0,0000;33,0000;1.92;0,0000
11677;shallots raw;72,0000;2,5000;0,0170;0,1000;16,8000;3,2000;7,8700;37,0000;1,2000;21,0000;60,0000;334,0000;12,0000;0,4000;0,0880;0,2920;1,2000;8,0000;0,0600;0,0200;0,2000;0,3450;34,0000;0,0000;0,0000;0.04;0,0000
28209;mother's taffy sndwch cookies;475,0000;3,8000;10,3000;20,2000;69,9000;2,3000;41,2000;0,0000;2,1000;15,0000;49,0000;121,0000;324,0000;0,5000;0,0000;0,0000;0,0000;0,0000;0,2600;0,1700;2,1000;0,0400;0,0000;0,0000;0,0000;0,0000;0,0000
13963;"beef chuck mock tender steak ln 0"" fat sel ckd brld";157,0000;26,1300;2,0000;5,0200;0,0000;0,0000;0,0000;7,0000;2,8000;23,0000;217,0000;293,0000;68,0000;7,8300;0,1120;0,0000;25,3000;0,0000;0,1120;0,2320;3,6680;0,3240;8,0000;3,4200;0,0000;0.16;0,0000
6054;campbell's red  white chick alphabet soup cond;56,0000;2,3800;0,3970;1,1900;9,5200;0,8000;0,7900;0,0000;0,2900;0,0000;0,0000;659,0000;381,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
10044;pork frsh loin cntr rib (chops or roasts) bone-in lnfat raw;186,0000;20,2800;2,3650;11,0400;0,0000;0,0000;0,0000;25,0000;0,5900;23,0000;203,0000;337,0000;56,0000;1,8500;0,0650;0,0080;35,5000;0,0000;0,4560;0,1770;6,3310;0,6820;0,0000;0,5400;2,0000;0.12;0,7000
23552;"beef chuck clod rst ln  fat 0"" fat all grds ckd rstd";207,0000;25,7000;3,9040;10,8400;0,0000;0,0000;0,0000;7,0000;3,0500;21,0000;212,0000;367,0000;71,0000;6,0400;0,0960;0,0000;29,1000;0,0000;0,0860;0,2400;3,3930;0,2680;9,0000;2,9700;0,0000;0.16;0,0000
19153;candies nestle after eight mints;432,0000;1,6700;8,3300;11,9000;79,5300;2,4000;66,6000;13,0000;0,5700;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
23352;"beef rnd eye of rd steak bnless l  f 0"" ft choic ck grlled";163,0000;29,7900;1,7440;4,8300;0,0000;0,0000;0,0000;17,0000;1,9100;16,0000;286,0000;419,0000;67,0000;4,4300;0,0630;0,0010;29,4000;0,0000;0,0820;0,2370;8,7970;0,8370;5,0000;2,1800;4,0000;0.33;0,0000
23424;beef nz imp var meats  by-products liver ckd bld;150,0000;23,3000;1,3920;4,6800;3,7800;0,0000;0,0000;4,0000;7,1700;21,0000;397,0000;336,0000;55,0000;3,4000;5,7300;328,0000;16,2000;0,0000;0,3760;3,0400;13,8000;0,4520;0,0000;96,0000;21014,0000;1.28;0,1000
23037;"beef chuck shldr clod top  cntr  stk ln  fat 0"" fat ch raw";143,0000;20,3900;2,0830;6,1200;0,0000;0,0000;0,0000;4,0000;2,1400;24,0000;212,0000;347,0000;61,0000;5,2400;0,0880;0,0110;29,7000;0,0000;0,0720;0,2300;5,1300;0,6730;7,0000;3,5600;0,0000;0.18;0,0000
8512;cereals malt-o-meal choc prep w h2o wo salt;47,0000;1,3700;0,0300;0,1000;9,2200;0,4000;2,1700;49,0000;5,5900;4,0000;16,0000;32,0000;1,0000;0,2000;0,0000;0,0000;0,0000;0,0000;0,1500;0,1500;2,6500;0,2700;0,0000;0,0000;0,0000;0.27;0,0000
3942;inf formula  mead johns  enfami  ar lipil  rtf w ara  dha;68,0000;1,7100;1,4530;3,4900;7,5300;0,0000;6,4400;53,0000;1,2300;5,0000;36,0000;74,0000;27,0000;0,6800;0,0510;0,0000;1,9000;8,2000;0,0550;0,0960;0,6840;0,0410;0,0000;0,2100;58,0000;0.62;1,0000
43125;beans liq from stwd kidney bns;47,0000;1,8000;1,1740;3,2000;2,8000;0,1000;0,0000;13,0000;1,9600;37,0000;88,0000;408,0000;2,0000;0,4900;0,0980;0,0000;0,5000;0,0000;0,1000;0,0900;0,3900;0,0300;33,0000;0,0200;0,0000;0,0000;0,0000
3061;babyfood dinner vegham str;59,0000;2,1900;0,7640;2,1400;7,8000;1,6000;1,3700;16,0000;0,4100;12,0000;33,0000;141,0000;16,0000;0,3200;0,0700;0,1400;2,4000;1,6000;0,0350;0,0540;0,6760;0,0720;3,0000;0,0600;144,0000;0.31;0,1000
19355;syrups sorghum;290,0000;0,0000;0,0000;0,0000;74,9000;0,0000;74,9000;150,0000;3,8000;100,0000;56,0000;1000,0000;8,0000;0,4100;0,1300;1,5300;1,7000;0,0000;0,1000;0,1550;0,1000;0,6700;0,0000;0,0000;0,0000;0,0000;0,0000
23363;"beef rnd eye of rnd steak bnless ln 0"" fat all grds raw";121,0000;23,3700;1,0860;3,0400;0,0000;0,0000;0,0000;13,0000;1,4500;12,0000;222,0000;319,0000;53,0000;3,4200;0,0420;0,0010;22,6000;0,0000;0,0630;0,1840;6,7200;0,6440;4,0000;1,8400;2,0000;0.24;0,0000
28252;sunshine cheez-it scrabble jr crackers;466,0000;10,9000;4,5000;17,3000;67,9000;2,6000;0,6000;0,0000;4,6000;18,0000;75,0000;115,0000;612,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6500;0,3900;5,2000;0,0000;0,0000;0,0000;117,0000;0,0000;0,0000
42259;snacks popcorn home-prepared oil-popped unsalted;500,0000;9,0000;5,0500;28,1000;58,1000;10,0000;0,5400;10,0000;2,7800;108,0000;250,0000;225,0000;3,0000;2,6400;0,2210;0,0000;7,3000;0,3000;0,1300;0,1400;1,5500;0,2100;17,0000;0,0000;8,0000;2.43;0,0000
16124;soy sau made from soy (tamari);60,0000;10,5100;0,0110;0,1000;5,5700;0,8000;1,7000;20,0000;2,3800;40,0000;130,0000;212,0000;5586,0000;0,4300;0,1350;0,4990;0,8000;0,0000;0,0590;0,1520;3,9510;0,2000;18,0000;0,0000;0,0000;0,0000;0,0000
17265;"lamb nz imp frz shdr whl (armbld) ln  fat 18"" ckd brsd";342,0000;29,4300;11,5000;24,0300;0,0000;0,0000;0,0000;27,0000;2,1600;18,0000;200,0000;151,0000;52,0000;4,7600;0,1060;0,0260;4,4000;0,0000;0,0800;0,3300;6,2600;0,0700;1,0000;3,4700;0,0000;0,0000;0,0000
17248;"lamb dom shldr arm lnfat 18""fat ckd brld";269,0000;24,9100;7,6600;18,0500;0,0000;0,0000;0,0000;18,0000;2,1200;27,0000;200,0000;314,0000;78,0000;5,0100;0,1350;0,0240;28,1000;0,0000;0,1000;0,2700;6,9900;0,1200;19,0000;2,8800;0,0000;0,0000;0,0000
18354;strudel apple;274,0000;3,3000;2,0440;11,2000;41,1000;2,2000;25,7500;15,0000;0,4200;9,0000;33,0000;149,0000;135,0000;0,1900;0,0300;0,1900;6,1000;1,7000;0,0400;0,0250;0,3300;0,0460;6,0000;0,2200;6,0000;1.42;0,0000
7029;ham sliced reg (approx 11 fat);163,0000;16,6000;2,9360;8,6000;3,8300;1,3000;0,0000;24,0000;1,0200;22,0000;153,0000;287,0000;1143,0000;1,3500;0,0890;0,5570;20,7000;4,0000;0,6260;0,1780;2,9040;0,3290;7,0000;0,4200;0,0000;0.08;0,7000
6449;soup pea grn cnd prep w eq volume h2o;61,0000;3,2000;0,5240;1,0900;9,8800;1,9000;3,1900;12,0000;0,7300;15,0000;47,0000;71,0000;336,0000;0,6400;0,1460;0,2450;3,6000;0,6000;0,0400;0,0250;0,4620;0,0200;1,0000;0,0000;3,0000;0.09;0,0000
23080;"beef chuck eye steak bnless ln 0"" fat all grds raw";153,0000;21,2900;3,2670;7,5600;0,0000;0,0000;0,0000;15,0000;2,2800;22,0000;202,0000;371,0000;70,0000;8,3900;0,0720;0,0100;22,8000;0,0000;0,0750;0,1700;4,8270;0,3920;3,0000;3,0700;2,0000;0.17;0,1000
A005;jowar;334,1220;9,9700;0,1630;1,7300;67,6800;10,2200;1,2700;27,6000;3,9500;133,0000;274,0000;328,0000;5,4200;1,9600;0,4500;1,1900;26,2900;0,0000;0,3500;0,1400;2,1000;0,2800;39,4200;0,0000;1,3000;0.06;0,0040
20628;wheat flr white (industrial) 10 prot bleached enr;366,0000;9,7100;0,3020;1,4800;76,2200;2,4000;0,4900;20,0000;5,0600;25,0000;107,0000;149,0000;2,0000;1,0200;0,1880;0,8180;14,6000;0,0000;0,7360;0,4450;5,9530;0,0370;31,0000;0,0000;0,0000;0.05;0,0000
23501;usda commodity bf patties wvpp frz ckd;247,0000;15,6400;6,2530;16,9400;7,8900;1,4000;0,0000;39,0000;3,6400;49,0000;235,0000;325,0000;66,0000;8,3200;0,2510;0,3500;14,6000;0,0000;0,2530;0,2090;3,8530;0,2640;17,0000;2,8700;16,0000;0,0000;0,0000
10949;pork frsh loin tp ln (chps) bnlss ln  ft w added sln raw;171,0000;19,4500;2,5300;10,2600;0,0000;0,0000;0,0000;9,0000;0,4200;21,0000;244,0000;489,0000;251,0000;1,2200;0,0490;0,0100;42,8000;0,0000;0,4750;0,1950;7,1780;0,4670;0,0000;0,5600;0,0000;0.2;0,3000
1287;yogurt greek pln lowfat;73,0000;9,9500;1,2300;1,9200;3,9400;0,0000;3,5600;115,0000;0,0400;11,0000;137,0000;141,0000;34,0000;0,6000;0,0210;0,0070;12,4000;0,8000;0,0440;0,2330;0,1970;0,0550;12,0000;0,5200;90,0000;0.04;0,0000
3824;inf formula  mead johnson  prosobee wiron  liq cnc  not rec;131,0000;3,1900;3,0380;7,1300;13,5800;0,0000;13,5800;134,0000;2,3000;14,0000;106,0000;153,0000;45,0000;1,5300;0,0960;0,0000;3,6000;15,3000;0,1020;0,1150;1,2800;0,0770;0,0000;0,3800;113,0000;1.7;1,9000
